below,"…『の下方へ』,より低い位置へ / …『の下方で』,より低い位置に"
belt,"『ベルト』,バンド,帯 / (特徴のある)地帯,地方"
bend,"を'『曲げる』 / (…に)'を'『従わせる』,屈服させる,'を'曲げさせる"
beneath,"…の下に / …の圧力下に,に支配されて"
beside,"…『のそばに』,のわきに,の横に / …と比較して(compared with)"
besides,"…『に加えて』,のほかにも / …を除いて,以外に"
best,"(『good』の最上級;比較級は『better』)『いちばんよい』,最もよい,最良の / (『well』の最上級;比較級は『better』)『健康状態が最良の』(healthiest)"
better,扇動者
between,…『の間に』 / …『の間に』
beyond,"…『を越えて』,『の向こうに』(『へ』) / …から[いくつ目]"
big,"(大きさ・高さ・広さ・数量・容積などについて)『大きい』 / 成長した(grown-up),成熟した;年長の(older)"
bill,"『勘定書』,請求書,つけ / 証書;手形"
bind,"(ひもで)…'を'『しばる』,'を'束ねる / (旨で)旨'を'『巻く』;'を'巻きつける"
bird,『鳥』 / 女
birth,"『誕生』,出生 / 『生まれ』,家柄;家系(lineage)"
bit,"(…の)『小片』,少量,少し(の…) / わずかの時間,しばらく;ちよっと,少し"
bite,"…'を'『かむ』,かじる,くわえる / …'を'刺す,食う"
bitter,"『苦い』 / 『つらい』 苦しい,きびしい,悲痛な"
black,"『黒い』,黒色の / 『暗い』,まっ暗な(dark)"
blade,"(刀・ナイフ・のこぎり・かみそりなどの)『刃』,刀身 / 刀,剣"
blame,"を'『非難する』,とがめる;(…のことで)'を'非難する / (…に)'を'なすりつける"
bleed,"『出血する』,血を流す;血を流して死ぬ / (切り口などから)樹液を出す"
bless,"(…を‘に'『授ける』,恵む / …'を'『祝福する』"
blind,"『目の見えない』,盲目の(sightless) / (…を)見る目がない,気がついていない"
block,"(木・石などの,通例平らな面のある)『かたまり』 / (四団を街路に囲まれた)『区画』,街区"
blood,"『血』,『血』液 / 流血(bloodshed);殺人"
blow,"『吹く』 / (…に)風(空気)を送る,吹きつける"
blue,"『青い』,あい色の / 青黒い"
board,"(ある程度の長さと幅をもった薄い)『板』 / ボール紙,台紙"
boast,"(…を)『自慢する』,鼻にかける / …'を'『自慢する』,鼻にかける"
boat,"『小型の船』,小舟,ボート / (大小に関係なく一般に)船,汽船"
body,"『身体』,肉体 / (人・動物の)『胴体』"
boil,沸く / 煮える
bold,"『大胆な,恐れを知らない』(fearless) / ずぶとい,ずうずうしい"
bone,"骨 / 骨を作っている物質,骨質"
book,"『本』,書物 / (書物の)『巻』,編"
border,"『ヘリ』,縁(ふち)端(はし);端に沿った部分 / (衣服・絵画などの)縁飾り,縁取り"
borrow,"(…を担保として…から)…'を'『借りる』 / 'を'借りてまねる,模倣(もほう)する"
both,"『両方の』,双方の / 『両方』,両者"
bottle,『びん』;1びんの量 / 酒;飲酒
bottom,(物の)『底』 / (海・川・湖・井戸などの)底
bound,"『はね上がる』,はね飛ぶ,はね返る / おどる,わくわくする"
boundary,"『境界線』,境(border) / 限界"
bow,『弓』 / (楽器の)弓
bowl,"『どんぶり,はち;わん』,茶わん,ボール / どんぶり(はち)1杯の量"
box,『箱』 / (の…)『1箱』
boy,"『少年,男の子』 / むすこ"
brain,"『脳』,脳髄 / 『頭脳』,『知力』"
branch,"『枝』 / 『支流』,支脈,支線;分家"
brass,『真ちゅう』(銅と亜鉛の合金) / 真ちゅう製器具
brave,"『勇敢な,勇ましい』 / はなやかな…みごとな"
bread,"『パン』,食パン / (生名の糧(かて)として必要な)食物一般…生計・金・銭"
break,"…'を'『壊す』,割る,砕く;…'を'折る / …'を'擦りむく"
breakfast,『朝食』 / 朝食を食べる
breath,"『息』,『呼吸』;UC〉1回の吸気(め気) / (風の)そよぎ;(…の)かすかなかおり"
breathe,"『呼吸する』,息をする / 一息いれる,休息する"
brick,(1個の)『れんが』 / (材料としての)『れんが』
bridge,"橋 / 船橋,艦橋"
bright,"『輝いている』,びかびかの(shining) / うららかな,晴れた"
bring,‘を'『持ってくる』 / (…に)‘を'『連れてくる』
broad,"『幅の広い』 / 『広大な』,広々とした"
broadcast,(ラジオ・テレビで)'を'『放送する』 / (一定地域に)'を'ばらまく
brother,"『兄弟』,『兄』,『弟』 / 同僚,仲間;同業者"
brown,"『褐色の』,『茶色の』 / 日に焼けた"
brush,"『ブラシ』,『はけ』,毛筆,画筆 / ブラシをかけること;絵筆を使うこと,画法"
build,"を'『組み立てる』,造る,建造する,建築する / (年月をかけて)'を'『作り上げる』,築き上げる;'を'作る"
bunch,"(…の)『ふさ』(cluster),束 / (…の)群れ"
bundle,"(…の)『束』,『包み』,巻いたもの(旅行者の荷物など) / …'を'包みにする,束にする"
burn,"『燃える』,『焼ける』 / (火や熱によって)『焦げる』,日焼けする"
burst,"『破裂する』,爆発する / ほころびる"
bury,"を'『埋葬する』,土葬する,水葬する / (見えないように)…'を'『おおい隠す』"
bus,『バス』 / …'を'バスで運ぶ
bush,"『低木』(たけが低く根元から多数の小枝が発生している木) / 未開墾地,森林地"
business,"(生計のための)『職業』,商売;任務,仕事 / 『店』,『会社』,商社"
businessman,『実業家』;『実務家』
busy,"『忙しい』,多忙な / (場所が)『にぎやかな』"
but,"『しかし』,だが,けれども / (…でなく)『て』"
butter,『バター』 / (バターに似た)パンに塗る食品
button,"(衣服の)『ボタン』 / 記章,バッジ"
buy,…'を'『買う』 / …‘が'買える
by,"…『のそばに』,の近くに;…の手もとに / …を経由して,を通って,のそばを通って"
cake,"『ケーハ』,洋菓子 / 平たい焼きパン(パンケーキなど)"
calculate,"…'を'『見積もる』,算定する / (ある目的で)…'を'意図する(intend)"
calculation,"見積もり,算定 / 予想,推定"
call,…'を'『呼ぶ』;'を'読み上げる / …'を'『呼び寄せる』 呼び集める;'を'呼び起こす
calm,"(海・湖などが)『穏やかな』,静かな;(天候などが)穏やかな / (心・態度などが)『平静な』,落ち着いた(composed)"
camera,"『カメラ』,写真機 / テレビ[用]カメラ"
camp,"(軍隊・登山隊・探検隊などの)『野営地』 / 野営のテント,仮設小屋"
can,"『…することができる』 『…であり得る』 し得る,かもしれない …のはずがない,ではあり得ない いったい…だろうか 『…してもよい』 …してあげよう;…してくれませんか"
cap,"(縁のない)『帽子』,制帽 / (形・用途が)帽子に似たもの;万年筆のキャップ,時計の中ぶた,びんのふた,キノコのかさなど"
cape,ケープ(婦人服の短いそでなし外とう)
capital,"『主要な』,最も重要な,第一の / 『大文字の』"
captain,"『長』,かしら(chief) / 『船長』,艦長;(吾行機の)機長"
car,"『自動車』(automobile)電車(streetcar) / (鉄道の)『車両』;客車,貨車"
card,"『カード』(長方形の厚紙);招待状,名刺,入場券 / =post card"
care,"『心配』,気がかり,悩み / 心配事,苦労の種"
carriage,(特に自家用)『四輪馬車』 / うば車(=baby carriage)
carry,"…'を'『運ぶ』,運搬する,持って行く(来る) / (身につけて)…'を'『持ち歩く』,携帯する"
case,"(…の)『実例』,事例 / 『実情』,真相"
cat,"『猫』;(ライオン,トラ,ヒョウなどの)ネコ科の動物"
catch,"…'を'『捕らえる』,捕まえる・'を'『つかみ取る』,受け止める・‘に'『間に合う』;追いつく・…'を'襲う・…'を'偶然見つける,‘に'思いがけなく出くわす・'を'打つ・…‘に'当たる・(…に)‘に''を'与える・‘に'『かかる』,感染する;(火が)…‘に'燃え移る・(くぎなどに)…'を'引っかける,(網などに)…'を'からませる,(ドアなどに)…'を'はさむ・'を'引き付ける・…'を'聞きとる,理解する・ / …'を'ぐっと押さえる,がまんする・'を'す早くする,わずかの間する・'を'見る,聞く・『引っかかる』,からまる・かかる,締まる"
cattle,(家畜の)『牛』
cause,"『原因』,起因;原因となる人(物事) / 『正当な理由』,根拠,動機"
caution,"『用心』,注意,慎重さ,用心深さ(prudence) / 『警告』(『注意』)『の言葉』(『合図』,『しるし』)"
cautious,"『用心深い』,慎重な"
cave,"『ほら穴』,(特に)横穴 / 陥没する"
cent,『セント』(1ドルの1/100;米国・カナダの貨幣単位;￠)
center,"(…の)『中心』,中央,中核 / (…の)『中心地』,中心施設"
century,"『1世紀』,100年間 / (古代ローマ軍隊の)百人隊;百人組(古代ローマの選挙単位);100の1組"
ceremony,"『儀式』 / 『礼儀』,礼式;社交的作法"
certain,"(主語となる人が)『碓信している』,信じて疑わない / (事が)『碓かな』,疑いのない(sure)"
certainty,"確実性,必然性;確信 / 確実なもの(こと),確かな見込み"
chain,"『鎖』;(装飾用の)鎖 / 『束縛』,拘束;囚人をつなぐ鎖"
chair,"『いす』(通例1人用の4脚で背のあるもの;armchair, easy chair, rocking chair, swivel chairも含めていう)/ 権威のある座(教授・裁伴官・司教・知事・市長などの地位)"
chairman,"『議長』,委員長;主席 / (会社の)会長,会頭"
chance,"『偶然』,偶然のでき事;運,めぐり合わせ / (何かが起こる)『公算』,見込み,可能性(probability)"
change,"(…に)…'を'『変える』,改める / …'を'『取り替える』,交換する"
character,"(人の)『性格』,人格 / (物事が持っている)特質,特性"
charge,"(…の)『費用』;料金,請求代金 / (…の)『監督』,管理,保護,世話;監督(保護)される人(物)"
charm,"(人の心を引きつける)『魅力』;女の魅力 / (…よけの)『まじない』,じゅ文,お守り"
cheap,"『値段が安い』,料金が安い,安く売る / 『安っぽい』,安物の,質の悪い,価値のない"
check,"(…の)『阻止』,(…を)尻い止めること(stop) / (…を)抑制(制御)する人(物)"
cheer,"『歓呼』,かっさい / 『励まし』,激励,応援"
chest,"(ふた付きのじょうぶな)『大箱』,ひつ / たんす(=chest of drawers)"
chicken,"『ひよこ』,(一般に)ひな鳥 / (一般に)鶏fowl)"
chief,"(組織・集団の)『長』;長官,局(部,課)長;(部族の)長 / 『最高位の』,長である"
child,"(おとなに対して)『子供』,幼児,児童;(小学・中学・高校の)児童 / (親に対して)子,子孫;息子,娘"
childhood,"『幼時』,子供時代"
choice,"(…を)『選択』,えり好み / 『選択権』,宣択の機会,宣択力"
choose,"(多数の中から)'を'『選択する』,選ぶ / ‘に'『決める』"
Christmas,"(また『Christmas Day』)『クリスマス』,キリスト降誕祭(12月25日) / =Christmastide"
church,"(特に,キリスト数の)『教会』,教会堂 / (教会で行う)礼拝"
circle,『円』 / (劇場などの)半円形のさじき
circular,"『円形の』,丸い / 回転して動く"
citizen,"(法的義務を持ち,居住権などの公民権を得ている)『国民』,公民 / (特に居住権を得ている)『市民』,住民"
city,"(特に行政権を持っている)『都市』,都会,規模の大きい町 / 市(州の公認を得た市議会を持つ行政区で一般にtown, villageよりも大きい)"
civilize,"(国の教育政策などで)'を'『文明化する』,教化する"
claim,"(当然の権利として)…'を'『要求する』,『請求する』,'を'自分の物だと主張する;(…から)…'を'要求する / …‘と'『主張する』,断言する"
class,"(何らかの類似性を持つ)(…の)『種類』,類(sort, kind) / 『クラス』,学級,組"
classification,分類[作業];分類法;分類結果 / (生物学上の)分類
classify,"(…に)…'を'『分類する』,類別する,等級別にする / 'を'機密扱いにする"
clay,"『粘土』;泥土 / (聖書で,人間の肉体が造られているとされる)土"
clean,"『汚れのない』,『清潔な』 / 使っていない"
clear,"『晴れた』;明るい(bright) / 『透き通った』,透明な"
clerk,"(銀行・会社の)行員,社員;事務員 / (官庁の)『書記』,事務官,吏員;(教会の)書記"
clever,"『リコウな』,頭のよい,才気のある,気のきいた / 『器用な』,じょうずな(skillful)"
climb,"…'を'『よじ登る』,登る / (…に)『よじ登る』,登る"
clock,『時計』 / (時計・ストップウォッチなどで)…‘の'時間を計る;'を'計る
close,"…'を'『閉じる』,閉める(shut) / …'を'ふさぐ(fill)"
cloth,"『布』,生地,織物 / (特定の用途に応じる大きさの)『布地』;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster)"
clothe,…‘に'衣服を着せる / …‘に'衣服を与える
